Date,Heating (kWh),Cooling (kWh),Electricity (kWh),Nat Gas (kWh),Domestic Water (m3)
10/1/2018,50505.6,4258.32,13846.41,2427.78,89.69
10/2/2018,46555.59,4193.85,12405.78,2116.67,59.86
10/3/2018,45652.81,4205.57,12586.9,2141.67,88.81
10/4/2018,45244.48,4088.34,12675,2713.89,87.13
10/5/2018,43794.48,3836.3,12510.62,2233.34,75.61
10/6/2018,32013.91,3279.47,9577.74,2122.22,44.45
10/7/2018,31500.03,3302.91,9618.95,2133.34,34.9
10/8/2018,47383.37,4185.05,11141.7,2188.89,41.55
10/9/2018,47891.7,4539.67,13106.09,2225,90.57
10/10/2018,46358.37,4574.84,12573.98,2283.34,81.75
10/11/2018,43347.26,4085.41,12601.96,2263.89,84.95
10/12/2018,40527.81,5638.69,12539.21,2311.11,85.48
10/13/2018,35436.14,3502.2,9666.23,2144.45,60.45
10/14/2018,31875.03,3458.24,9823.01,2147.22,74.5
10/15/2018,34277.81,6986.81,11766.62,2213.89,93.26
10/16/2018,36083.36,8965.04,12570.05,3011.11,94.2
10/17/2018,32275.03,9791.5,13852.13,2508.34,92.28
10/18/2018,33797.25,9577.56,13040.26,3113.89,89.8
10/19/2018,37425.03,7086.46,13549.26,2427.78,53.34
10/20/2018,25225.02,8487.34,10958.88,2161.11,21.49
10/21/2018,27941.69,4478.13,10903.14,2244.45,13.7
10/22/2018,38600.03,5618.17,13334.48,2313.89,70.07
10/23/2018,36016.7,8425.79,12690.09,2841.67,80.22
10/24/2018,34869.47,8314.43,12863.98,2430.56,66.79
10/25/2018,36800.03,7948.09,12482.71,2350,75.45
10/26/2018,36622.25,7235.92,12424.76,2369.45,76.3
10/27/2018,28191.69,4522.09,9727.59,2088.89,57.22
10/28/2018,28050.02,4466.4,9762.09,2238.89,48.84
10/29/2018,37555.59,4624.66,12604.27,2366.67,80.19
10/30/2018,39052.81,4457.61,12533.34,2383.34,75.35
10/31/2018,38313.92,4589.49,12552.13,2436.11,77.94
11/1/2018,41186.14,4668.62,12358.01,2327.78,70.55
11/2/2018,42166.7,4771.2,12248.63,2219.45,72.22
11/3/2018,29133.36,4023.87,9562.22,2097.22,56.14
11/4/2018,30236.14,4580.7,9693.6,2155.56,52.23
11/5/2018,48002.82,5169.77,12511.85,2208.34,78.93
11/6/2018,50775.04,5574.21,12072.1,2269.45,84.52
11/7/2018,49822.26,5486.29,12205.07,2272.22,87.39
11/8/2018,45780.59,5354.41,12127.17,2269.45,91.55
11/9/2018,46019.48,4574.84,11847.05,2216.67,75.47
11/10/2018,34522.25,3824.58,8898.71,2130.56,55.63
11/11/2018,37425.03,3974.04,8701.02,2055.56,46.94
11/12/2018,46991.7,4557.26,10512.66,2305.56,45.31
11/13/2018,40394.48,4530.88,11878.01,2238.89,56.29
11/14/2018,40038.92,4050.24,12003.39,2247.22,54.54
11/15/2018,41777.81,3036.22,11724.97,2177.78,72.6
11/16/2018,46908.37,3405.49,10978.32,2213.89,81.18
11/17/2018,34275.03,3091.9,8610.94,2191.67,62.95
11/18/2018,30405.58,2602.47,8512.86,2061.11,64.41
11/19/2018,39155.59,3124.14,11775.12,2113.89,92.7
11/20/2018,38686.14,3701.49,11907.82,2238.89,96.84
11/21/2018,39197.25,2921.92,11906.65,2297.22,95.98
11/22/2018,38302.81,3502.2,11921.22,2477.78,95.01
11/23/2018,44933.37,2992.26,11816.73,2116.67,85.97
11/24/2018,36330.58,2889.68,8928.47,2025,66.37
11/25/2018,34105.58,3045.01,8959.69,2088.89,63.7
11/26/2018,37230.59,2918.99,11970.96,2100,93.52
11/27/2018,30552.8,3112.41,11993.13,2200,96.65
11/28/2018,29930.58,3402.56,12005.73,2233.34,96.96
11/29/2018,37547.25,3701.49,11872.15,2322.22,98.65
11/30/2018,38175.03,3815.79,11796.4,2222.22,98.78
12/1/2018,33400.03,3302.91,9102.05,2100,72.39
12/2/2018,31433.36,3651.67,8926.4,2047.22,65.72
12/3/2018,36977.81,4223.15,11905.31,2172.22,88.45
12/4/2018,39533.36,4223.15,11941.6,2200,86.66
12/5/2018,41463.92,4580.7,11983.98,2180.56,93.5
12/6/2018,41577.81,4510.36,12117.75,2369.45,86.82
12/7/2018,40519.48,4314.01,11987.36,2205.56,88.31
12/8/2018,32261.14,3663.39,9374.56,2166.67,74.8
12/9/2018,31650.03,3329.29,9044.62,2155.56,69.72
12/10/2018,33572.25,3669.25,12089.76,2227.78,90.54
12/11/2018,43580.59,3921.29,12058.51,2194.45,89.24
12/12/2018,43241.7,3842.16,12171.52,2161.11,86.56
12/13/2018,42025.03,3792.34,12082.02,2202.78,88.98
12/14/2018,33877.8,3607.7,12217.97,2241.67,82.75
12/15/2018,34077.81,3305.84,10873.62,2144.45,69.3
12/16/2018,34669.47,3387.9,9555.12,2127.78,59.93
12/17/2018,35402.81,3549.09,12366.94,2191.67,75
12/18/2018,34177.81,3642.87,11930.87,1750,63.12
12/19/2018,32438.91,3648.73,12026.45,141.67,78.51
12/20/2018,34275.03,3601.84,11997.32,480.56,57.18
12/21/2018,34400.03,3897.85,11455.7,625,54.7
12/22/2018,33272.25,3678.04,8611.03,211.11,31.81
12/23/2018,41994.48,4393.14,9918.41,122.22,22.76
12/24/2018,43936.15,4829.81,10022.65,130.56,19.61
12/25/2018,39741.7,4692.07,9880.49,130.56,19.7
12/26/2018,39327.81,4944.11,9841.51,127.78,22.72
12/27/2018,40138.92,4873.77,9912.5,122.22,34.26
12/28/2018,40725.03,4431.23,10134.58,125,35.67
12/29/2018,40144.48,3830.44,9943.04,113.89,39.32
12/30/2018,41725.03,4211.43,9889.15,133.33,38.31
12/31/2018,44430.59,5023.24,10102.15,175,37.64
1/1/2019,35480.58,3918.36,10089.52,144.44,38.97
1/2/2019,32897.25,3461.17,11217.25,116.67,56.27
1/3/2019,30469.47,3613.57,11519.49,119.44,53.84
1/4/2019,31350.03,3680.97,11382.97,125,45.38
1/5/2019,31252.8,3698.56,8820.18,452.78,35.84
1/6/2019,29102.8,3578.4,8663.57,125,41.27
1/7/2019,40938.92,4577.77,11591.5,150,64.98
1/8/2019,43480.59,4777.06,11627.96,172.22,71.17
1/9/2019,43077.81,4835.67,11461.67,144.44,72.05
1/10/2019,39544.48,3982.84,11939.5,200,78.79
1/11/2019,42305.59,3370.32,11531.31,430.56,76.98
1/12/2019,25691.69,3176.89,8612.22,686.11,52.84
1/13/2019,29416.69,3030.35,8615.13,152.78,62.61
1/14/2019,35088.92,3464.1,11604.58,175,89.22
1/15/2019,41825.03,3701.49,11712.52,625,90.35
1/16/2019,40747.25,3839.23,11801.2,186.11,86.22
1/17/2019,48541.71,4797.57,12269.31,255.56,87.93
1/18/2019,52827.82,5524.39,13059.21,344.44,82.24
1/19/2019,38672.25,3830.44,9346.93,400,69.25
1/20/2019,34461.14,3021.56,8523.93,177.78,63.77
1/21/2019,41052.81,2942.43,11781.78,277.78,102.75
1/22/2019,41580.59,1975.3,11973.49,200,91.35
1/23/2019,47527.82,1040.4,11969.74,555.56,90.37
1/24/2019,48916.71,504.08,13015.76,316.67,84.96
1/25/2019,41416.7,196.36,12045.26,152.78,76.05
1/26/2019,37280.59,38.1,9314.62,319.44,65.33
1/27/2019,34730.58,5.86,8844.61,138.89,62.38
1/28/2019,41116.7,0,11432.56,294.44,85.34
1/29/2019,43633.37,2.93,11397.25,213.89,83.87
1/30/2019,34519.47,5.86,11287.1,175,81.21
1/31/2019,37488.92,0,11011.84,163.89,83.3
2/1/2019,47625.04,0,11755.5,241.67,79.27
2/2/2019,54422.27,2.93,11646.08,316.67,65.77
2/3/2019,55080.6,41.03,10285.32,391.67,62.03
2/4/2019,54336.15,190.5,12598.89,1413.89,78.25
2/5/2019,55041.71,372.2,13248.35,2616.67,83.67
2/6/2019,56161.16,524.6,13395.46,2491.67,79.87
2/7/2019,53786.15,465.98,12986,2525,82.36
2/8/2019,54233.38,38.1,12545.17,2550,81.8
2/9/2019,55988.93,32.24,11694.73,2600,62.36
2/10/2019,54397.27,5.86,11462.81,2597.22,65.52
2/11/2019,53991.71,49.82,13104.66,2561.11,91.99
2/12/2019,55216.71,64.48,13051.83,1561.11,101.3
2/13/2019,55388.93,5.86,13203.59,361.11,85.49
2/14/2019,54891.71,296,13175.26,394.44,87.99
2/15/2019,54825.04,8.79,12954.39,1544.45,81.86
2/16/2019,54927.82,331.17,11677.46,3852.78,56.63
2/17/2019,55452.82,422.02,11653.93,5305.56,47.05
2/18/2019,53288.93,82.06,11756.54,4283.34,49.57
2/19/2019,41491.7,196.36,11419.89,2302.78,59.6
2/20/2019,43169.48,23.45,11410.47,2330.56,64.42
2/21/2019,50961.15,0,12515.92,2466.67,62.47
